Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1708.625427
FDW14,OUT017,1387.704209
NCN55,OUT010,555.7880437
FDQ58,OUT017,2513.938138
FDY38,OUT027,5941.477954
FDH56,OUT046,1939.116509
FDL48,OUT018,624.4130315
FDC48,OUT027,2038.346514
FDN33,OUT045,1433.282007
FDA36,OUT017,3021.257391
FDT44,OUT017,1892.958929
FDQ56,OUT045,1238.213802
NCC54,OUT019,543.2710947
FDU11,OUT049,1965.352723
DRL59,OUT013,754.9966197
FDM24,OUT049,2425.331195
FDI57,OUT045,2925.95116
DRC12,OUT018,2683.69386
NCM42,OUT027,2828.545302
FDA46,OUT010,416.2473739
FDA31,OUT013,2870.234949
NCJ31,OUT035,4100.478495
FDG52,OUT046,774.9269464
NCL19,OUT019,318.1901097
FDS10,OUT035,3028.232663
FDX22,OUT010,459.766964
NCF19,OUT035,736.8101553
NCE06,OUT046,2462.389944
DRC27,OUT046,3519.408916
FDE21,OUT035,1814.747276
NCR42,OUT019,204.4638357
FDX51,OUT018,2590.935745
NCR06,OUT018,540.1419869
FDU31,OUT027,5646.955519
FDU59,OUT017,2665.163273
FDR03,OUT027,5391.063466
FDS49,OUT027,2019.634171
FDD48,OUT010,272.6716858
NCF18,OUT017,3100.177931
NCD43,OUT027,2652.530548
NCD54,OUT018,1970.97896
FDY19,OUT010,275.9783358
NCY54,OUT017,2820.495144
NCL19,OUT018,1993.102233
FDP23,OUT010,479.0328615
FDC26,OUT013,1715.002181
FDR14,OUT010,218.4474847
NCS41,OUT035,3076.689785
FDF41,OUT035,4232.869972
FDU34,OUT046,1912.150243
DRH11,OUT046,902.2268594
FDM03,OUT013,1618.61255
FDS31,OUT017,3016.422883
FDJ20,OUT017,2002.468156
FDV44,OUT027,5025.541234
FDG02,OUT049,3130.3503
FDA09,OUT013,2806.682485
FDT04,OUT013,573.7429434
FDL58,OUT019,633.8989668
FDE52,OUT045,1339.584141
FDW12,OUT035,2406.419424
FDL51,OUT017,3533.858162
NCY42,OUT027,3712.156772
FDR07,OUT017,1526.3405
FDN40,OUT045,2227.155018
FDB35,OUT027,2383.286908
FDA22,OUT017,2690.450768
NCL06,OUT046,3687.196277
FDI35,OUT013,2985.685237
NCW42,OUT045,3250.497148
NCX06,OUT049,2986.211672
FDC37,OUT027,2786.614077
FDZ14,OUT018,1601.632491
DRG49,OUT049,3922.059347
NCG06,OUT045,3686.908212
DRC36,OUT045,2822.213519
FDV21,OUT019,293.8267187
FDB53,OUT046,2272.967028
DRP47,OUT019,583.8516177
FDA14,OUT013,2315.097854
DRC24,OUT035,2488.981679
FDW21,OUT018,1294.723883
NCH29,OUT046,1491.351954
FDU58,OUT013,2957.24216
FDY27,OUT017,2878.597336
FDV56,OUT035,1755.291826
FDT59,OUT046,3369.877333
FDB23,OUT046,3771.1252
FDR49,OUT045,756.0584891
FDB03,OUT010,555.6969424
FDN39,OUT045,2680.704154
FDX02,OUT027,5665.384948
FDQ16,OUT027,2775.345713
FDU35,OUT018,1312.869345
NCT29,OUT013,1892.695998
FDZ27,OUT046,780.2306156
FDN57,OUT017,2269.09654
FDA03,OUT018,1930.208169
FDZ36,OUT045,3033.435865
NCU05,OUT013,1190.990377
FDT39,OUT018,2007.500665
FDK60,OUT017,1558.809814
FDZ25,OUT017,2821.93777
FDG12,OUT046,2029.594161
DRB01,OUT019,409.1796417
NCC43,OUT027,6111.382847
FDX13,OUT019,570.5957452
FDM22,OUT049,764.3684944
FDJ03,OUT027,1296.271159
FDU14,OUT018,3388.257659
FDB33,OUT010,341.7613799
FDP27,OUT046,2876.116363
FDO38,OUT010,233.9462329
FDE28,OUT027,5905.453687
FDO27,OUT035,1522.618074
DRL23,OUT027,2755.832314
FDS28,OUT046,875.4590309
FDX24,OUT013,1377.144488
FDZ02,OUT035,1539.360138
FDL46,OUT045,1685.255561
FDS60,OUT027,4695.964113
NCO06,OUT017,527.4141257
FDO16,OUT035,1271.846974
FDC60,OUT049,1277.893397
FDA48,OUT018,3051.384586
FDZ36,OUT027,4971.53343
FDK27,OUT045,1740.525937
FDW23,OUT018,497.1625998
FDM14,OUT018,1470.401697
FDM14,OUT013,1645.345798
FDW60,OUT018,2370.854942
FDE21,OUT013,1790.612859
NCM42,OUT035,1687.65973
FDY59,OUT010,250.0126552
DRI49,OUT049,1256.16323
FDT28,OUT019,332.0211223
FDQ22,OUT018,506.248958
FDR60,OUT049,1178.259127
FDC50,OUT019,258.5531038
FDV24,OUT013,2438.379717
DRF48,OUT010,403.4519355
FDQ47,OUT046,578.1483084
DRN36,OUT049,1526.08971
NCY06,OUT035,2034.279442
FDE52,OUT035,1426.037401
NCB54,OUT045,1834.137461
NCF31,OUT035,2487.116216
FDJ08,OUT027,4961.053385
NCC07,OUT017,1683.79853
NCD19,OUT027,1330.43165
FDL46,OUT049,1905.19864
FDM20,OUT045,3568.411942
NCI06,OUT010,385.3499871
DRM11,OUT035,4403.46092
NCH07,OUT018,2197.015621
FDS23,OUT013,2026.224793
FDO49,OUT018,612.1525641
FDS35,OUT049,1001.36594
DRK39,OUT045,1199.858089
DRI39,OUT049,896.0679284
FDV04,OUT017,2630.381496
NCN14,OUT035,3063.287534
FDH08,OUT013,3855.128862
FDS20,OUT046,2771.776083
FDV40,OUT049,1160.123507
FDZ48,OUT010,268.4396
FDS24,OUT027,2305.530528
FDK44,OUT049,2889.387296
FDS48,OUT045,2192.876242
FDK26,OUT010,404.3474081
FDD23,OUT045,3083.033712
NCH54,OUT017,2620.161393
NCP14,OUT010,263.6955019
FDM60,OUT010,209.612567
FDV24,OUT017,2452.002627
FDH08,OUT018,3155.317834
FDS12,OUT027,3331.530357
FDR39,OUT027,4741.753413
FDP12,OUT027,1002.774168
DRF60,OUT027,5898.12193
FDC09,OUT035,1647.437157
FDF50,OUT018,2770.679007
FDG28,OUT035,4162.166055
NCE19,OUT017,856.3490676
NCM53,OUT010,265.6743387
NCN18,OUT049,1763.149977
FDF32,OUT035,3377.780884
FDF11,OUT013,3739.198969
DRI59,OUT049,3673.637263
NCG54,OUT035,2812.372623
FDM44,OUT046,1552.481471
FDT57,OUT018,3241.283824
FDV24,OUT046,2311.415672
FDI50,OUT019,508.8739817
FDS09,OUT035,848.5017726
NCC31,OUT027,4072.216413
FDQ07,OUT019,481.8527962
FDC22,OUT017,3189.693059
FDZ56,OUT046,2578.190594
FDZ40,OUT019,220.7022069
FDS46,OUT027,3165.402606
DRD24,OUT045,2041.733634
FDV45,OUT017,3055.423393
FDL26,OUT045,2274.81293
FDA56,OUT018,1664.005589
FDN27,OUT046,1809.074095
FDM20,OUT049,3919.396092
FDO16,OUT017,1292.728041
FDL03,OUT035,3349.604045
FDE58,OUT046,1791.160071
FDI02,OUT027,2992.380846
NCC55,OUT019,209.1915161
FDR03,OUT018,2723.73383
FDB14,OUT017,1478.941502
FDR45,OUT013,4009.925925
NCN07,OUT017,2092.596285
FDM51,OUT019,257.833999
FDT52,OUT027,6107.200943
FDL26,OUT046,2357.546117
NCZ42,OUT046,3460.182949
DRI47,OUT019,323.1339451
FDW40,OUT013,2150.27981
FDN34,OUT046,2877.647008
FDS01,OUT035,2982.869537
NCG55,OUT045,1674.499284
FDC11,OUT035,1316.653155
FDX35,OUT018,2958.518969
NCB06,OUT046,2447.732683
FDR09,OUT019,610.5377543
FDC53,OUT017,1528.517401
FDY45,OUT013,4222.086095
FDA22,OUT010,360.1129072
FDE02,OUT035,1445.758645
FDW21,OUT045,1519.896166
FDV34,OUT046,1166.681244
FDS59,OUT049,1648.851748
NCW17,OUT017,2056.264686
NCK54,OUT046,1794.266216
FDG17,OUT019,563.6412246
FDG35,OUT017,2885.428192
FDD08,OUT010,208.5464433
NCO07,OUT017,3370.910317
FDJ10,OUT010,318.0422574
FDW36,OUT017,1649.196644
FDW21,OUT010,261.2710746
FDY19,OUT017,1887.828048
DRE03,OUT013,687.3286679
NCC55,OUT049,615.6289447
FDH52,OUT010,225.3395659
FDO09,OUT017,4126.060224
FDU43,OUT045,3886.233286
FDX09,OUT010,373.5830668
FDH40,OUT019,239.0540207
FDW58,OUT017,1655.996411
FDC47,OUT017,3580.12588
NCR41,OUT035,1431.287188
DRG49,OUT035,4178.864858
FDC52,OUT027,4102.814689
FDY13,OUT046,1151.632516
FDY35,OUT013,648.1700253
FDI35,OUT017,2942.778615
NCU18,OUT049,2309.400546
FDY33,OUT018,2109.938319
FDC15,OUT027,4150.432037
FDU01,OUT049,3063.237834
NCU42,OUT046,2581.072972
NCV29,OUT018,2478.368888
NCY30,OUT017,2960.254936
FDQ46,OUT049,1784.381413
FDG58,OUT027,4143.77183
FDK33,OUT017,3399.297143
NCD07,OUT045,1666.162438
